target_lastauthor_year,type,short_cite,write_up_link,github_link,on_turk,repeated_measure,N,test_description,raw_stat,same_direction,MCF_rep_score,TA_rep_score,replication_score,closeness,pre-registration,comments,cost,Checked links?,name_pretty,sensitivity,include,journal,target_cite,article_link,study_number,subfield,target_year,stanford_internal,open_data,open_materials,within_between,single_vignette
birch2007,additional,bridgers2015,https://docs.google.com/document/d/1fSARliH5QKadGy3UElC00ehgwr2LLQbey-uzb1RPv0A/edit,NA,yes,1,152,red box: ignorance < knowledge-plausible,t(149.58) = -1.20,yes,0,0.25,0,close,NA,only counting participants in two relevant conditions,NA,TRUE,Birch & Bloom 2007,NA,stats,Psych Sci,"Birch, S. A., & Bloom, P. (2007). The curse of knowledge in reasoning about false beliefs. Psychological Science, 18(5), 382-386.",https://journals.sagepub.com/doi/abs/10.1111/j.1467-9280.2007.01909.x,1.0,cognitive,2007,no,no,yes,between,1
birch2007,original,birch2007,https://journals.sagepub.com/doi/abs/10.1111/j.1467-9280.2007.01909.x,NA,no,1,103,red box: ignorance < knowledge-plausible,t(105)=-2.42,NA,NA,NA,NA,NA,NA,only counting participants in two relevant conditions,NA,TRUE,Birch & Bloom 2007,NA,stats,Psych Sci,"Birch, S. A., & Bloom, P. (2007). The curse of knowledge in reasoning about false beliefs. Psychological Science, 18(5), 382-386.",https://journals.sagepub.com/doi/abs/10.1111/j.1467-9280.2007.01909.x,1.0,cognitive,2007,no,no,yes,between,1
birch2007,rep1,borchers2018,https://rpubs.com/lrborchers/450894,https://github.com/psych251/birch2007,yes,1,73,red box: ignorance < knowledge-plausible,t(70.25) = -0.65,yes,0,0,0,very close,https://osf.io/32zyn,NA,NA,TRUE,Birch & Bloom 2007,NA,stats,Psych Sci,"Birch, S. A., & Bloom, P. (2007). The curse of knowledge in reasoning about false beliefs. Psychological Science, 18(5), 382-386.",https://journals.sagepub.com/doi/abs/10.1111/j.1467-9280.2007.01909.x,1.0,cognitive,2007,no,no,yes,between,1
birch2007,rescue,abutto2023,https://rpubs.com/ottuba/birch2007_2_rescue_final,https://github.com/psych251/birch2007_2_rescue,yes,1,247,red box: ignorance < knowledge-plausible,t(237.01)=-1.4687,yes,0,0,0,very close,https://osf.io/vy8wc,only counting participants in two relevant conditions,258,TRUE,Birch & Bloom 2007,NA,stats,Psych Sci,"Birch, S. A., & Bloom, P. (2007). The curse of knowledge in reasoning about false beliefs. Psychological Science, 18(5), 382-386.",https://journals.sagepub.com/doi/abs/10.1111/j.1467-9280.2007.01909.x,1.0,cognitive,2007,no,no,yes,between,1
child2018,original,child2018,https://www.tandfonline.com/doi/pdf/10.1080/23273798.2018.1431397,NA,no,48,35,perspective predicting RT in positive passages,"MSD2: m1= 2201 (1284), m2= 2350( 1351)",NA,NA,NA,NA,NA,NA,"in replication, converted from seconds to ms to match orig",NA,TRUE,Child et al. 2018,NA,stats,"Language, cognition, and neuroscience","Child, S., Oakhill, J., & Garnham, A. (2018). You’re the emotional one: the role of perspective for emotion processing in reading comprehension. Language, cognition and neuroscience, 33(7), 878-889.",https://www.tandfonline.com/doi/pdf/10.1080/23273798.2018.1431397,1.0,other-psych,2018,no,no,yes,within,0
child2018,rep1,bunderson2020,https://rpubs.com/mebund/666364,https://github.com/psych251/child2018,yes,48,40,perspective predicting RT in positive passages,"MSD2: m1=1860(1510), m2=1960(1490)",yes,0.75,0.25,0.5,very close,https://osf.io/vk2cs,"in replication, converted from seconds to ms to match orig, two tests considered important, one marginal, one not replicating, directions recreated, analysis possibly reconstructed differently",NA,TRUE,Child et al. 2018,NA,stats,"Language, cognition, and neuroscience","Child, S., Oakhill, J., & Garnham, A. (2018). You’re the emotional one: the role of perspective for emotion processing in reading comprehension. Language, cognition and neuroscience, 33(7), 878-889.",https://www.tandfonline.com/doi/pdf/10.1080/23273798.2018.1431397,1.0,other-psych,2018,no,no,yes,within,0
child2018,rescue,lua2023,https://rpubs.com/vyqlua/child2018rescue,https://github.com/psych251/child2018_rescue/tree/main,yes,48,98,perspective (2nd v 3rd) on RT for positive passages,"MSD2: m1=1930(1400), m2=1930 (1400)",no,0,0,0,very close,https://osf.io/ubmws,"replicator rated as ""far"" for change in population, but it's all convenience (undergrad v online)",485.43,TRUE,Child et al. 2018,NA,stats,"Language, cognition, and neuroscience","Child, S., Oakhill, J., & Garnham, A. (2018). You’re the emotional one: the role of perspective for emotion processing in reading comprehension. Language, cognition and neuroscience, 33(7), 878-889.",https://www.tandfonline.com/doi/pdf/10.1080/23273798.2018.1431397,1.0,other-psych,2018,no,no,yes,within,0
chou2016,original,chou2016,https://journals.sagepub.com/doi/abs/10.1177/0956797615625640,NA,yes,1,100,high control condition  has less reported pain than low control condition (low then high control),"MSD2: m1=13.75 (21.49), m2 = 6.57 (11.62)",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,Chou et al. 2016,NA,stats,Psych Sci,"Chou, E. Y., Parmar, B. L., & Galinsky, A. D. (2016). Economic insecurity increases physical pain. Psychological Science, 27(4), 443-454.",https://journals.sagepub.com/doi/abs/10.1177/0956797615625640,5.0,other-psych,2016,no,no,no,between,1
chou2016,rep1,zion2017,http://rpubs.com/szion/341843,https://github.com/psych251/Chou2016,yes,1,158,high control condition  has less reported pain than low control condition,"MSD2: m1=18.51(24.33), m2=23.10(23.88)",no,0,0,0,very close,NA,added more manipulation check measures,NA,TRUE,Chou et al. 2016,NA,stats,Psych Sci,"Chou, E. Y., Parmar, B. L., & Galinsky, A. D. (2016). Economic insecurity increases physical pain. Psychological Science, 27(4), 443-454.",https://journals.sagepub.com/doi/abs/10.1177/0956797615625640,5.0,other-psych,2016,no,no,no,between,1
chou2016,rescue,troutman2023,https://rpubs.com/troutman/rescue_final,https://github.com/psych251/chou2016_rescue,yes,1,252,high v low sense of control -> pain level,"MSD2: m1=11.52066(18.72659), m2=10.39695(16.53978)",yes,0,0,0,very close,https://osf.io/vmfue,note that comparison graph in rescue flips the high-low pain for replication; sd isn't in report but is calculated from data,309.1,TRUE,Chou et al. 2016,NA,stats,Psych Sci,"Chou, E. Y., Parmar, B. L., & Galinsky, A. D. (2016). Economic insecurity increases physical pain. Psychological Science, 27(4), 443-454.",https://journals.sagepub.com/doi/abs/10.1177/0956797615625640,5.0,other-psych,2016,no,no,no,between,1
